year,date,lat,lon,count
2021,2021-08-02,15.2605,-61.44068,5
2021,2021-08-02,15.25768,-61.4321,1
2021,2021-08-02,15.25483,-61.4311,5
2021,2021-08-02,15.24705,-61.42827,3
2021,2021-08-02,15.24248,-61.42598,1
2021,2021-08-02,15.23333,-61.42055,1
2021,2021-08-02,15.22587,-61.41632,6
2021,2021-08-03,15.26707,-61.45387,2
2021,2021-08-03,15.26748,-61.45465,1
2021,2021-08-03,15.2679,-61.45253,5
2021,2021-08-03,15.26288,-61.43783,2
2021,2021-08-03,15.26443,-61.43817,2
2021,2021-08-03,15.2626,-61.43263,1
2021,2021-08-03,15.2472,-61.42392,5
2021,2021-08-03,15.2544,-61.41827,3
2021,2021-08-03,15.25838,-61.41273,2
2021,2021-08-03,15.25742,-61.40798,5
2021,2021-08-03,15.25092,-61.4016,1
2021,2021-08-03,15.23912,-61.41708,1
2021,2021-08-03,15.24043,-61.40932,2
2021,2021-08-03,15.23945,-61.40635,2
2021,2021-08-03,15.2355,-61.4086,1
2021,2021-08-03,15.24002,-61.42715,1
2021,2021-11-08,15.30723,-61.5434,1
2021,2021-11-08,15.30982,-61.52983,3
2021,2021-11-08,15.3114,-61.52448,1
2021,2021-11-08,15.3048,-61.51345,1
2021,2021-11-08,15.29338,-61.5084,4
2021,2021-11-08,15.28113,-61.4969,2
2021,2021-11-08,15.27952,-61.49348,3
2021,2021-11-08,15.26793,-61.49043,5
2021,2021-11-08,15.26348,-61.4891,2
2021,2021-11-09,15.2581,-61.57278,2
2021,2021-11-09,15.44093,-61.5347,7
2021,2021-11-10,15.46142,-61.58092,1
2021,2021-11-10,15.45978,-61.56495,3
2021,2021-11-10,15.45757,-61.56062,1
2021,2021-11-10,15.45693,-61.55793,2
2021,2021-11-10,15.45205,-61.49882,1
2021,2021-11-10,15.46043,-61.49243,2
2021,2021-11-10,15.45277,-61.49492,3
2021,2021-11-10,15.44607,-61.51385,2
2021,2021-11-10,15.45162,-61.52618,1
2021,2021-11-10,15.45545,-61.52508,1
2021,2021-11-10,15.4512,-61.53608,1
2021,2021-11-11,15.29468,-61.47103,1
2021,2021-11-11,15.29655,-61.4566,2
2021,2021-11-11,15.29993,-61.45263,1
2021,2021-11-11,15.30452,-61.4494,2
2021,2021-11-11,15.30888,-61.45057,2
2021,2021-11-11,15.32417,-61.44432,2
2021,2021-11-11,15.34465,-61.44313,2
2021,2021-11-11,15.35463,-61.44788,5
2021,2021-11-11,15.3707,-61.46352,3
2021,2021-11-11,15.38012,-61.46203,1
2021,2021-11-11,15.39245,-61.47162,1
2021,2021-11-11,15.398,-61.47353,1
2021,2021-11-11,15.39665,-61.47768,2
2021,2021-11-11,15.39702,-61.47118,2
2021,2021-11-14,15.49572,-61.50068,1
2021,2021-11-14,15.5243,-61.50927,1
2021,2021-11-14,15.52713,-61.50752,2
2021,2021-11-14,15.54208,-61.51413,1
2021,2021-11-14,15.5748,-61.53062,1
2021,2021-11-14,15.57433,-61.53398,1
2021,2021-11-16,15.36945,-61.58007,5
2021,2021-11-16,15.34747,-61.5674,2
2021,2021-11-16,15.3432,-61.56352,2
2021,2021-11-16,15.33337,-61.56573,1
2021,2021-11-17,15.27618,-61.47455,2
2021,2021-11-17,15.27767,-61.47613,2
2021,2021-11-17,15.27388,-61.47347,1
2021,2021-11-17,15.27152,-61.47227,1
2021,2021-11-18,15.26377,-61.46067,2
2021,2021-11-18,15.24958,-61.43375,2
2021,2021-11-19,15.33137,-61.4705,2
2021,2021-11-19,15.33342,-61.47128,1
2021,2021-11-19,15.35522,-61.49222,1
2021,2021-11-19,15.35495,-61.49332,1
2021,2021-11-19,15.35202,-61.49238,3
2021,2021-11-19,15.34535,-61.48845,1
2021,2021-11-19,15.42073,-61.49245,2
2021,2021-11-19,15.41447,-61.48923,5
2021,2021-11-21,15.18753,-61.40112,6
2021,2021-11-21,15.51967,-61.54053,3
2021,2021-11-21,15.51255,-61.53487,1
2021,2021-11-21,15.5071,-61.5319,2
2021,2021-11-21,15.50773,-61.53252,4
2021,2021-11-21,15.17335,-61.43093,4
2021,2021-11-21,15.17818,-61.47417,1
2021,2021-11-21,15.32265,-61.56733,8
2021,2021-11-21,15.32098,-61.56452,3
2021,2021-11-21,15.31243,-61.56367,1
2021,2021-11-21,15.30352,-61.55638,3
2021,2021-11-23,15.25853,-61.49182,2
2021,2021-11-23,15.29478,-61.56218,2
2021,2021-11-23,15.3202,-61.66192,2
2021,2021-11-23,15.3202,-61.66192,2
2021,2021-11-24,15.37135,-61.41617,3
2021,2021-11-24,15.38682,-61.56945,2
2021,2021-11-24,15.41568,-61.57558,2
2021,2021-11-24,15.41793,-61.58437,2
2021,2021-11-24,15.42808,-61.5735,2
2021,2021-11-24,15.42825,-61.40093,2
2021,2021-11-24,15.42907,-61.56818,2
2021,2021-11-25,15.1821,-61.43625,1
2021,2021-11-25,15.41047,-61.57618,1
2021,2021-11-25,15.39657,-61.5763,2
2021,2021-11-25,15.39595,-61.57518,1
2021,2021-11-25,15.37983,-61.58387,2
2021,2021-11-25,15.37975,-61.58292,2
2021,2021-11-25,15.34972,-61.571,4
2021,2021-11-27,15.35477,-61.64055,3
2021,2021-11-27,15.35362,-61.6462,2
2021,2021-11-27,15.3567,-61.64577,2
2021,2021-12-19,15.41283,-61.55202,3
2021,2021-12-19,15.3968,-61.54795,2
2021,2021-12-19,15.39575,-61.54832,3
2021,2021-12-19,15.37397,-61.5496,2
2021,2021-12-19,15.36937,-61.54533,2
2021,2021-12-19,15.36672,-61.54562,4
2021,2021-12-19,15.36283,-61.53852,4
2021,2021-12-19,15.35582,-61.5373,8
2021,2021-12-19,15.34675,-61.53712,8
2021,2021-12-20,15.30793,-61.52387,3
2021,2021-12-20,15.31287,-61.51353,3
2021,2021-12-20,15.31248,-61.50828,2
2021,2021-12-20,15.3106,-61.50525,1
2021,2021-12-20,15.30457,-61.5004,3
2021,2021-12-20,15.28332,-61.49437,4
2021,2021-12-20,15.27093,-61.48417,3
2021,2021-12-20,15.30788,-61.47692,1
2021,2021-12-20,15.27295,-61.46042,2
2021,2021-12-20,15.26457,-61.45872,2
2021,2021-12-20,15.25807,-61.45462,3
2021,2021-12-20,15.25392,-61.45467,3
2021,2021-12-20,15.24593,-61.44875,1
2021,2021-12-20,15.23805,-61.45157,1
2021,2021-12-20,15.23862,-61.44682,1
2021,2021-12-21,15.25123,-61.41127,4
2021,2021-12-21,15.26308,-61.41705,1
2021,2021-12-21,15.26568,-61.41568,1
2021,2021-12-21,15.26855,-61.41788,5
2021,2021-12-21,15.28108,-61.42283,1
2021,2021-12-21,15.2794,-61.42413,6
2021,2021-12-21,15.2889,-61.42947,1
2021,2021-12-21,15.29613,-61.43587,1
2021,2021-12-21,15.2991,-61.43953,1
2021,2021-12-21,15.2926,-61.44128,4
2021,2021-12-21,15.29568,-61.4446,1
2021,2021-12-21,15.30433,-61.44917,2
2021,2021-12-21,15.31273,-61.00045,5
2021,2021-12-21,15.33158,-61.46122,1
2021,2021-12-21,15.33672,-61.46352,1
2021,2021-12-21,15.34475,-61.46098,3
2021,2021-12-21,15.34868,-61.46162,1
2021,2021-12-21,15.35533,-61.45417,3
2021,2021-12-21,15.35743,-61.45678,1
2021,2021-12-21,15.36132,-61.4676,1
2021,2021-12-21,15.36993,-61.47157,1
2021,2021-12-22,15.239,-61.43343,1
2021,2021-12-22,15.23587,-61.42668,1
2021,2021-12-22,15.23103,-61.4204,1
2021,2021-12-23,15.43963,-61.55813,2
2021,2021-12-23,15.44243,-61.56442,1
2021,2021-12-23,15.44358,-61.56605,1
2021,2021-12-23,15.44142,-61.56362,4
2021,2021-12-23,15.43213,-61.55773,4
2021,2021-12-23,15.4315,-61.55747,4
2021,2021-12-23,15.42313,-61.54848,4
2021,2021-12-23,15.42382,-61.55068,1
2021,2021-12-23,15.4158,-61.54748,1
2021,2021-12-23,15.40082,-61.51962,1
2021,2021-12-23,15.40285,-61.50948,1
2021,2021-12-23,15.40405,-61.50172,3
2021,2021-12-24,15.27338,-61.40987,2
2021,2021-12-24,15.24268,-61.4039,2
2021,2021-12-24,15.19145,-61.40025,3
2021,2021-12-24,15.17682,-61.40085,1
2021,2021-12-24,15.2777,-61.4271,1
2021,2021-12-24,15.26958,-61.42267,3
2021,2021-12-24,15.2482,-61.419,3
2021,2021-12-24,15.24172,-61.41645,3
2021,2021-12-24,15.2269,-61.4133,1
2021,2021-12-24,15.22375,-61.41012,1
2021,2021-12-25,15.37495,-61.54295,2
2021,2021-12-25,15.38308,-61.54995,3
2021,2021-12-25,15.40092,-61.56712,3
2021,2021-12-25,15.4055,-61.5588,1
2021,2021-12-25,15.42492,-61.5675,2
2021,2021-12-25,15.43202,-61.57098,4
2021,2021-12-26,15.40867,-61.54985,3
2021,2021-12-26,15.40052,-61.55357,1
2021,2021-12-26,15.39598,-61.55098,1
2021,2021-12-26,15.392,-61.54907,1
2021,2021-12-26,15.38978,-61.48662,1
2021,2021-12-27,15.21125,-61.43342,3
2021,2021-12-27,15.2128,-61.4284,3
2021,2021-12-29,15.25358,-61.42128,1
2021,2021-12-29,15.2428,-61.44797,3
2021,2021-12-29,15.21877,-61.44178,2
2021,2021-12-29,15.21455,-61.45292,3
2021,2021-12-29,15.20633,-61.44328,1
2021,2022-12-30,15.25633,-61.44433,2
2021,2022-12-30,15.26922,-61.44815,1
2021,2022-12-30,15.28067,-61.4459,1
2021,2022-12-31,15.25195,-61.48602,2
2021,2022-12-31,15.25343,-61.47368,1
2021,2022-12-31,15.25593,-61.46587,3
2021,2022-12-31,15.2556,-61.46608,1
2021,2022-12-31,15.25603,-61.46062,1
2021,2022-12-31,15.25995,-61.45232,1
2021,2022-12-31,15.26717,-61.44623,2
2021,2022-12-31,15.27728,-61.44647,1
2021,2022-12-31,15.28393,-61.44588,4
2021,2022-12-31,15.2991,-61.4382,2
2021,2022-12-31,15.31852,-61.43603,4
2021,2022-12-31,15.3247,-61.43915,2
2021,2022-12-31,15.34285,-61.43932,1
2021,2022-12-31,15.3456,-61.45185,3
2021,2022-12-31,15.34593,-61.45575,2
2022,2022-01-01,15.33255,-61.43522,3
2022,2022-01-01,15.32785,-61.43637,2
2022,2022-01-01,15.32742,-61.4374,1
2022,2022-01-01,15.31913,-61.4372,2
2022,2022-01-01,15.31848,-61.44182,2
2022,2022-01-01,15.31327,-61.44218,2
2022,2022-01-01,15.3023,-61.45438,1
2022,2022-01-01,15.29928,-61.45565,1
2022,2022-01-01,15.28852,-61.45703,2
2022,2022-01-01,15.26078,-61.4686,2
2022,2022-01-01,15.25135,-61.46383,2
2022,2022-01-01,15.23612,-61.46435,4
2022,2022-01-01,15.22525,-61.46158,1
2022,2022-01-02,15.22075,-61.41512,4
2022,2022-01-02,15.21115,-61.4139,4
2022,2022-01-02,15.23317,-61.41927,2
2022,2022-01-02,15.22573,-61.42063,2
2022,2022-01-03,15.35387,-61.45507,3
2022,2022-01-03,15.3479,-61.44742,2
2022,2022-01-03,15.34265,-61.45027,1
2022,2022-01-03,15.35415,-61.44803,3
2022,2022-01-03,15.34803,-61.45228,2
2022,2022-01-03,15.3557,-61.45862,2
2022,2022-01-03,15.35767,-61.46035,3
2022,2022-01-03,15.34862,-61.47085,6
2022,2022-01-04,15.26353,-61.445,1
2022,2022-01-04,15.25272,-61.44982,4
2022,2022-01-04,15.25787,-61.43298,2
2022,2022-01-04,15.28745,-61.43865,2
2022,2022-01-04,15.31678,-61.42818,6
2022,2022-01-04,15.28875,-61.42358,4
2022,2022-01-04,15.38002,-61.47677,3
2022,2022-01-04,15.38017,-61.46857,5
2022,2022-01-04,15.36975,-61.4643,3
2022,2022-01-04,15.373,-61.47123,2
2022,2022-01-05,15.30923,-61.4572,2
2022,2022-01-05,15.30902,-61.45723,1
2022,2022-01-05,15.3068,-61.44393,6
2022,2022-01-05,15.3117,-61.44238,1
2022,2022-01-05,15.41722,-61.49443,1
2022,2022-01-05,15.4003,-61.47627,2
2022,2022-01-05,15.39868,-61.4761,2
2022,2022-01-05,15.38725,-61.4773,2
2022,2022-01-05,15.3672,-61.45963,2
2022,2022-01-05,15.36005,-61.45743,2
2022,2022-01-05,15.35317,-61.4615,3
2022,2022-01-05,15.32937,-61.4533,1
2022,2022-01-05,15.30775,-61.44227,1
2022,2022-01-06,15.31968,-61.45357,3
2022,2022-01-06,15.32568,-61.45912,4
2022,2022-01-06,15.33178,-61.444,5
2022,2022-01-06,15.33958,-61.45348,3
2022,2022-01-06,15.34247,-61.455,3
2022,2022-01-06,15.34422,-61.45298,4
2022,2022-01-06,15.35848,-61.4605,2
2022,2022-01-06,15.35823,-61.45632,1
2022,2022-01-07,15.283,-61.46862,6
2022,2022-01-07,15.283,-61.46862,2
2022,2022-01-07,15.29375,-61.44512,4
2022,2022-01-07,15.31437,-61.44208,1
2022,2022-01-07,15.31635,-61.4428,5
2022,2022-01-07,15.34152,-61.43433,2
2022,2022-01-07,15.36572,-61.45792,5
2022,2022-01-20,15.25513,-61.43208,4
2022,2022-01-20,15.25648,-61.4333,1
2022,2022-01-20,15.22897,-61.41335,1
2022,2022-01-20,15.25765,-61.41098,2
2022,2022-01-20,15.27735,-61.43103,1
2022,2022-01-20,15.24745,-61.43045,6
2022,2022-01-20,15.24048,-61.43168,1
2022,2022-01-20,15.23932,-61.43352,1
2022,2022-01-20,15.24875,-61.45208,1
2022,2022-01-21,15.24648,-61.45538,1
2022,2022-01-21,15.30193,-61.43065,2
2022,2022-01-21,15.31337,-61.43152,2
2022,2022-01-21,15.32732,-61.43713,1
2022,2022-01-21,15.33477,-61.45775,4
2022,2022-01-21,15.33775,-61.46147,2
2022,2022-01-21,15.33833,-61.45985,3
2022,2022-01-21,15.34103,-61.45967,3
2022,2022-01-21,15.34763,-61.46108,4
2022,2022-01-21,15.3468,-61.46345,5
2022,2022-01-22,15.24017,-61.46198,2
2022,2022-01-22,15.25117,-61.47855,1
2022,2022-01-22,15.25567,-61.47223,2
2022,2022-01-22,15.25385,-61.47285,3
2022,2022-01-22,15.27307,-61.43635,2
2022,2022-01-22,15.279,-61.43723,1
2022,2022-01-22,15.29637,-61.43643,2
2022,2022-01-22,15.31045,-61.43005,3
2022,2022-01-22,15.3155,-61.43515,1
